RamanShift	Intensity
190	3128.478
191	3091.001
192	3045.487
193	3004.147
194	2956.894
195	2917.622
196	2887.63
197	2872.608
198	2859.225
199	2824.779
200	2787.746
201	2750.245
202	2719.262
203	2676.702
204	2621.494
205	2566.296
206	2507.085
207	2460.612
208	2413.657
209	2381.864
210	2355.674
211	2334.734
212	2320.603
213	2298.782
214	2278.043
215	2251.938
216	2224.311
217	2189.594
218	2146.199
219	2102.192
220	2050.765
221	2008.541
222	1967.814
223	1938.027
224	1899.572
225	1846.714
226	1796.441
227	1743.968
228	1706.642
229	1670.672
230	1645.726
231	1614.804
232	1571.871
233	1534.487
234	1500.539
235	1481.822
236	1465.791
237	1455.253
238	1432.675
239	1391.379
240	1344.342
241	1292.376
242	1250.243
243	1211.257
244	1185.75
245	1157.635
246	1123.395
247	1091.528
248	1052.768
249	1024.484
250	1003.122
251	994.8143
252	982.4865
253	961.2913
254	937.7966
255	908.8387
256	885.2471
257	866.014
258	857.0385
259	848.8613
260	839.9323
261	829.2534
262	813.4186
263	793.6741
264	766.801
265	735.3818
266	695.2379
267	650.5805
268	606.1102
269	561.3868
270	525.6901
271	485.5645
272	455.7982
273	427.2641
274	405.5687
275	387.3639
276	367.406
277	353.8926
278	338.174
279	331.0201
280	332.4696
281	342.5687
282	346.4333
283	335.1245
284	315.3288
285	293.3746
286	271.0044
287	244.9984
288	219.9728
289	191.4077
290	159.1351
291	140.7578
292	143.0684
293	162.1031
294	172.6736
295	175.216
296	173.5935
297	167.8574
298	159.5745
299	152.2243
300	145.4148
301	137.3939
302	131.2941
303	126.8727
304	125.7515
305	129.4129
306	138.7293
307	144.8266
308	135.1169
309	119.4641
310	116.6364
311	126.3965
312	129.8935
313	119.2496
314	100.1322
315	76.81905
316	54.21585
317	36.64465
318	28.12938
319	15.68671
320	-0.2585084
321	-11.20715
322	-16.26068
323	-6.851895
324	20.57283
325	56.43447
326	80.65718
327	85.68768
328	82.90807
329	78.4664
330	70.66981
331	65.62651
332	61.81652
333	54.70908
334	48.82914
335	50.93626
336	63.23573
337	83.1928
338	106.7959
339	129.8827
340	149.4218
341	164.9648
342	193.3556
343	229.125
344	256.8507
345	267.8607
346	265.3418
347	266.7766
348	258.6465
349	240.624
350	214.7
351	185.2334
352	159.1883
353	140.7046
354	130.3309
355	135.0167
356	148.7304
357	168.325
358	177.2252
359	173.4468
360	175.911
361	192.4124
362	200.6141
363	184.3395
364	157.9862
365	143.6522
366	140.3615
367	134.3548
368	125.0951
369	113.0375
370	97.26961
371	84.72213
372	75.84245
373	75.19688
374	77.61379
375	83.96039
376	90.58562
377	95.0927
378	95.69149
379	90.84422
380	84.4701
381	83.29587
382	85.25372
383	84.70168
384	81.88905
385	79.48637
386	78.61683
387	78.35056
388	75.24697
389	77.58672
390	95.25613
391	118.7106
392	128.4493
393	120.1882
394	115.9219
395	125.6913
396	136.8779
397	141.6473
398	141.9968
399	142.4347
400	143.293
401	149.3452
402	160.3272
403	171.9296
404	181.232
405	188.4427
406	197.6352
407	204.4165
408	211.4781
409	215.2085
410	214.9476
411	210.1668
412	205.5983
413	204.7883
414	205.5578
415	206.2648
416	206.2206
417	202.0522
418	196.4736
419	196.4904
420	204.1944
421	215.0724
422	226.398
423	236.2553
424	247.6117
425	252.2697
426	250.0154
427	239.3456
428	226.5507
429	214.3894
430	196.2412
431	171.0592
432	149.5628
433	135.661
434	134.1122
435	134.2418
436	140.4689
437	152.3721
438	166.5459
439	172.7166
440	163.7014
441	151.3788
442	148.7434
443	149.304
444	143.4117
445	136.3796
446	134.9263
447	141.6174
448	155.6343
449	174.9557
450	190.5955
451	195.3404
452	190.0449
453	185.7321
454	179.0773
455	168.1457
456	157.5588
457	158.0996
458	174.3244
459	196.8028
460	217.3814
461	231.4487
462	242.3912
463	240.9499
464	228.6273
465	208.2575
466	195.3631
467	196.4884
468	199.9259
469	196.2611
470	200.7898
471	221.6437
472	253.8878
473	293.773
474	327.927
475	346.672
476	343.2064
477	338.7788
478	345.0038
479	355.1266
480	367.632
481	382.9069
482	405.7024
483	426.8036
484	440.7765
485	443.7077
486	449.0754
487	459.6068
488	465.3232
489	463.2324
490	452.3719
491	435.9776
492	416.7933
493	398.177
494	385.4899
495	373.3708
496	364.7257
497	358.1099
498	352.9744
499	348.3085
500	338.6255
501	333.0287
502	336.2876
503	347.0048
504	358.4993
505	366.4964
506	365.0857
507	352.2991
508	341.1074
509	341.493
510	342.1911
511	334.1622
512	320.3188
513	301.0484
514	282.2549
515	265.2956
516	258.1546
517	268.5399
518	297.4619
519	320.3486
520	317.4497
521	306.4323
522	312.5321
523	318.7808
524	308.5642
525	288.9566
526	276.8418
527	278.2018
528	284.9532
529	294.4179
530	317.718
531	361.1594
532	402.5569
533	429.4366
534	438.9997
535	457.8266
536	473.1309
537	478.3454
538	470.1425
539	459.4246
540	451.4041
541	441.3623
542	426.9733
543	414.9144
544	405.5387
545	402.1863
546	398.5315
547	397.1757
548	397.4286
549	397.636
550	389.5953
551	370.6941
552	344.7075
553	314.3956
554	284.0233
555	248.7851
556	218.5862
557	180.91
558	151.5267
559	134.4915
560	135.8701
561	136.0281
562	130.0925
563	132.315
564	147.973
565	165.8821
566	173.7083
567	178.6004
568	195.0548
569	212.7832
570	224.6422
571	225.5093
572	218.6634
573	204.5306
574	187.1107
575	170.2123
576	155.4813
577	142.9807
578	134.2007
579	119.6193
580	109.5241
581	107.6162
582	115.0258
583	122.3612
584	126.6894
585	124.5358
586	114.6758
587	110.1531
588	119.3384
589	133.3799
590	144.787
591	149.993
592	147.6562
593	138.5841
594	132.4201
595	130.3162
596	130.0997
597	131.3284
598	128.4973
599	119.2047
600	111.3036
601	110.1614
602	112.2396
603	112.0076
604	110.7349
605	106.2249
606	101.7678
607	102.4601
608	109.2
609	119.1187
610	129.5442
611	132.7209
612	124.7987
613	116.0878
614	115.5636
615	119.9087
616	123.9917
617	131.1645
618	143.948
619	157.5915
620	167.1069
621	169.5276
622	172.4048
623	175.2781
624	169.5268
625	152.4111
626	137.7644
627	137.2917
