RamanShift	Intensity
190	2335.661
191	2306.604
192	2264.325
193	2226.125
194	2184.17
195	2148.266
196	2111.325
197	2076.971
198	2044.092
199	2001.766
200	1964.826
201	1921.19
202	1883.648
203	1844.098
204	1805.564
205	1771.803
206	1730.62
207	1696.98
208	1660.527
209	1633.312
210	1611.686
211	1597.477
212	1589.068
213	1573.269
214	1556.904
215	1536.922
216	1514.398
217	1479.25
218	1427.356
219	1376.327
220	1330.213
221	1299.443
222	1264.231
223	1234.439
224	1201.347
225	1163.503
226	1131.471
227	1096.86
228	1074.656
229	1057.732
230	1049.387
231	1029.301
232	988.1989
233	947.427
234	917.024
235	900.4207
236	878.3502
237	856.2116
238	829.693
239	798.4234
240	768.7775
241	733.8422
242	708.3462
243	688.3078
244	679.1302
245	666.3577
246	645.4118
247	619.6046
248	582.5276
249	548.6694
250	521.7978
251	508.3631
252	491.4084
253	467.1118
254	445.3482
255	423.9197
256	411.9874
257	404.6323
258	405.1978
259	404.0002
260	398.2194
261	389.5469
262	377.7455
263	364.5357
264	350.973
265	336.8895
266	313.8397
267	282.6284
268	249.1787
269	215.2935
270	188.2406
271	163.0437
272	145.9766
273	122.1932
274	93.99098
275	64.42096
276	34.09793
277	13.62925
278	-3.034981
279	-4.182134
280	3.447683
281	19.43081
282	32.00257
283	31.31467
284	27.86709
285	36.95891
286	45.29952
287	41.452
288	22.86814
289	-4.908156
290	-38.37679
291	-58.71925
292	-51.09411
293	-25.60946
294	-15.0211
295	-15.51348
296	-11.12221
297	1.086897
298	17.08356
299	36.42787
300	50.03651
301	53.30358
302	44.46079
303	34.87191
304	27.27006
305	24.31342
306	30.82615
307	32.50253
308	7.406784
309	-23.19357
310	-30.19409
311	-10.55852
312	7.577399
313	10.464
314	5.064817
315	-4.92751
316	-16.9981
317	-21.27445
318	-19.06289
319	-22.11685
320	-32.66462
321	-45.67766
322	-61.03076
323	-64.85756
324	-45.93121
325	-12.51568
326	10.92317
327	17.4153
328	16.34432
329	12.1254
330	3.926448
331	-2.646445
332	-7.260358
333	-11.95918
334	-12.67728
335	-6.389387
336	7.61946
337	33.05459
338	72.56586
339	107.9723
340	124.3427
341	124.2257
342	140.9498
343	172.2327
344	194.3551
345	195.8452
346	186.8401
347	185.7014
348	182.9823
349	177.6542
350	168.6809
351	152.8054
352	131.7035
353	108.3576
354	83.53304
355	69.97668
356	71.81294
357	86.47425
358	89.58031
359	81.06641
360	79.14112
361	91.03044
362	102.0625
363	102.0843
364	93.78114
365	83.56773
366	71.86064
367	60.72187
368	52.11978
369	39.34558
370	18.66162
371	0.5213662
372	-12.59415
373	-15.66972
374	-16.80613
375	-12.84627
376	-4.789227
377	5.821781
378	13.8524
379	14.66633
380	12.68498
381	17.42762
382	23.43497
383	25.25236
384	22.02945
385	18.69372
386	17.41389
387	14.85615
388	7.533441
389	2.125957
390	5.305087
391	12.91119
392	11.97491
393	1.345227
394	-6.1398
395	-4.533644
396	-1.75202
397	-5.183265
398	-10.76426
399	-18.13502
400	-22.58136
401	-18.25361
402	-3.360878
403	18.08593
404	42.34394
405	66.38013
406	93.6102
407	114.1456
408	132.5683
409	140.7932
410	143.6717
411	139.6134
412	130.8439
413	120.522
414	111.7818
415	106.3066
416	106.572
417	108.6244
418	113.5705
419	118.9447
420	123.8645
421	130.2514
422	139.0611
423	147.1708
424	156.4299
425	161.024
426	162.8393
427	157.5905
428	144.3567
429	124.1161
430	95.75407
431	62.5102
432	34.28563
433	14.34913
434	7.770415
435	-2.039032
436	-6.4531
437	-2.368294
438	10.60335
439	25.35125
440	35.67684
441	42.14005
442	49.58064
443	49.84505
444	40.48605
445	25.4042
446	18.10091
447	21.80373
448	27.64564
449	31.29107
450	34.6868
451	36.3857
452	39.87877
453	51.97103
454	66.5118
455	72.64645
456	69.55652
457	72.5265
458	86.74768
459	106.2771
460	127.8082
461	146.7818
462	168.1209
463	179.9797
464	180.8472
465	170.437
466	168.2556
467	178.6022
468	182.5275
469	166.8794
470	156.3013
471	171.397
472	203.72
473	240.3546
474	271.6707
475	291.6819
476	293.7108
477	293.2197
478	298.0607
479	309.0078
480	332.4072
481	357.6803
482	376.8717
483	387.9866
484	405.0035
485	423.0921
486	440.2641
487	452.9455
488	456.0233
489	450.1498
490	432.5375
491	407.5338
492	380.1325
493	355.3257
494	339.0775
495	318.8097
496	298.6321
497	282.6099
498	273.2672
499	268.9221
500	262.1987
501	259.2745
502	256.4316
503	258.581
504	268.652
505	283.1696
506	289.8302
507	284.2008
508	279.3292
509	283.7048
510	288.2336
511	288.9649
512	282.5899
513	267.9344
514	246.74
515	218.7551
516	193.692
517	190.6379
518	216.0456
519	239.7912
520	238.0029
521	227.5034
522	225.933
523	226.3002
524	223.664
525	221.5066
526	224.7288
527	234.215
528	247.1598
529	260.5389
530	280.147
531	309.08
532	339.8206
533	378.0514
534	405.5496
535	424.602
536	425.4414
537	421.0249
538	409.5507
539	389.7179
540	363.4925
541	332.2694
542	295.9733
543	265.3624
544	231.2386
545	215.0399
546	214.9054
547	232.7835
548	246.639
549	251.26
550	252.8382
551	251.4421
552	242.8587
553	227.3705
554	205.004
555	174.3809
556	143.8175
557	112.5419
558	89.70754
559	71.3632
560	62.16691
561	47.01191
562	24.77167
563	11.95039
564	15.03293
565	28.02131
566	38.09406
567	48.90002
568	60.76137
569	70.40522
570	81.82349
571	90.17556
572	91.42841
573	83.35042
574	71.15388
575	58.63196
576	44.2867
577	26.55333
578	13.61154
579	5.210907
580	6.280631
581	10.90841
582	19.91945
583	28.8955
584	35.83854
585	43.1219
586	50.22284
587	58.64768
588	70.99271
589	78.79028
590	79.23981
591	71.96436
592	63.06315
593	54.23269
594	49.23067
595	49.39967
596	48.32981
597	46.10545
598	48.60018
599	57.63532
600	65.36348
601	65.77053
602	63.19815
603	65.53189
604	66.31676
605	59.47818
606	49.12444
607	43.22319
