RamanShift	Intensity
190	3888.141
191	3868.859
192	3848.52
193	3831.27
194	3808.59
195	3785.008
196	3757.892
197	3730.372
198	3699.27
199	3656.083
200	3616.543
201	3578.617
202	3550.469
203	3509.273
204	3451.184
205	3398.833
206	3357.185
207	3332.845
208	3298.745
209	3267.627
210	3241.817
211	3225.647
212	3214.804
213	3193.284
214	3171.156
215	3147.925
216	3125.535
217	3089.95
218	3035.094
219	2982.524
220	2939.122
221	2912.824
222	2879.045
223	2847.403
224	2813.002
225	2776.624
226	2743.303
227	2700.804
228	2666.259
229	2634.504
230	2613.036
231	2585.033
232	2545.242
233	2504.753
234	2458.469
235	2420.919
236	2385.062
237	2358.016
238	2321.02
239	2268.798
240	2215.078
241	2153.572
242	2105.51
243	2060.851
244	2032.755
245	2005.855
246	1976.954
247	1949.366
248	1907.604
249	1872.995
250	1849.087
251	1841.012
252	1824.554
253	1792.753
254	1760.013
255	1728.372
256	1707.093
257	1689.348
258	1680.711
259	1669.121
260	1652.328
261	1634.022
262	1615.17
263	1593.581
264	1559.679
265	1517.73
266	1465.605
267	1409.478
268	1354.353
269	1297.375
270	1256.349
271	1221.706
272	1204.874
273	1181.625
274	1153.613
275	1126.164
276	1100.986
277	1080.264
278	1048.982
279	1024.642
280	1011.503
281	1013.512
282	1010.364
283	990.1673
284	967.8394
285	953.5427
286	943.3644
287	921.5647
288	890.4398
289	852.5042
290	810.903
291	776.1393
292	751.0485
293	738.855
294	718.9011
295	698.1321
296	671.6722
297	643.4479
298	622.7233
299	613.761
300	615.3553
301	611.1707
302	606.8018
303	603.3572
304	601.2664
305	597.6959
306	592.2151
307	580.3682
308	555.9269
309	528.028
310	503.9999
311	489.342
312	469.9483
313	443.6005
314	414.3607
315	378.7965
316	348.743
317	323.0615
318	309.6102
319	293.7487
320	276.4084
321	263.373
322	254.1657
323	253.8401
324	260.7635
325	269.5858
326	263.3152
327	240.2483
328	215.3044
329	197.9996
330	185.5757
331	172.2373
332	163.7694
333	150.3019
334	138.022
335	131.5184
336	133.6902
337	142.5938
338	155.7441
339	165.9085
340	160.9908
341	149.0492
342	154.1428
343	177.6239
344	198.1527
345	204.4786
346	200.557
347	194.3628
348	182.2668
349	169.7836
350	157.5224
351	140.2421
352	120.069
353	101.1292
354	84.6604
355	77.61033
356	79.06142
357	86.08064
358	78.02368
359	57.74093
360	49.33969
361	63.84956
