RamanShift	Intensity
190	3245.534
191	3216.925
192	3175.642
193	3133.114
194	3082.645
195	3035.205
196	2988.163
197	2948.372
198	2914.815
199	2874.004
200	2842.793
201	2808.455
202	2779.824
203	2741.376
204	2691.893
205	2641.934
206	2587.157
207	2542.192
208	2494.281
209	2458.917
210	2429.242
211	2406.64
212	2393.233
213	2374.62
214	2358.846
215	2338.33
216	2313.99
217	2274.634
218	2215.437
219	2156.223
220	2101.678
221	2064.584
222	2024.69
223	1992.378
224	1953.018
225	1903.003
226	1855.006
227	1799.977
228	1757.976
229	1720.562
230	1696.549
231	1661.516
232	1605.87
233	1556.976
234	1521.151
235	1506.242
236	1487.717
237	1469.757
238	1441.772
239	1400.147
240	1356.494
241	1308.8
242	1272.514
243	1240.457
244	1220.827
245	1195.404
246	1159.141
247	1125.112
248	1091.248
249	1068.184
250	1046.911
251	1031.638
252	1004.945
253	962.9374
254	922.1292
255	886.7728
256	865.189
257	843.7319
258	829.1516
259	810.4352
260	786.2546
261	761.1317
262	733.6444
263	709.1835
264	681.9274
265	655.3872
266	615.8882
267	565.8285
268	520.1718
269	484.8204
270	463.7334
271	437.6602
272	417.5729
273	393.524
274	368.6716
275	342.7152
276	314.1124
277	293.3212
278	275.1535
279	270.3024
280	272.7823
281	282.2234
282	284.4746
283	270.4126
284	249.8239
285	232.2442
286	216.5722
287	195.4596
288	171.6595
289	141.1586
290	104.0303
291	76.9463
292	66.36035
293	73.69572
294	77.47787
295	81.36597
296	85.6972
297	89.34208
298	95.99586
299	109.0275
300	120.2489
301	124.0742
302	118.5501
303	110.155
304	100.0097
305	88.26671
306	78.17013
307	65.17855
308	37.33757
309	12.74909
310	6.654495
311	22.05543
312	34.48666
313	31.7038
314	25.77539
315	25.53032
316	26.45398
317	25.81362
318	23.40107
319	17.89515
320	10.06129
321	4.371789
322	1.729337
323	9.811476
324	36.41348
325	70.17215
326	90.11767
327	89.92459
328	86.81683
329	90.07479
330	89.54949
331	82.568
332	71.25478
333	58.27835
334	47.68123
335	40.6837
336	39.84535
337	49.32408
338	71.69332
339	93.36004
340	95.29795
341	85.82294
342	94.30891
343	121.8024
344	147.3885
345	159.7434
346	163.7891
347	171.0366
348	171.2135
349	165.9283
350	154.6211
351	141.6598
352	130.3926
353	119.3697
354	105.8368
355	101.7031
356	114.7238
357	136.7291
358	142.6647
