RamanShift	Intensity
190	3755.69
191	3729.922
192	3688.553
193	3647.45
194	3606.466
195	3577.59
196	3559.546
197	3555.686
198	3554.858
199	3536.893
200	3516.216
201	3498.966
202	3487.129
203	3467.744
204	3438.708
205	3399.469
206	3344.15
207	3286.785
208	3227.379
209	3183.895
210	3150.973
211	3132.384
212	3127.396
213	3117.021
214	3108.026
215	3088.231
216	3060.09
217	3026.843
218	2990.967
219	2954.525
220	2907.337
221	2867.015
222	2829.389
223	2804.819
224	2780.205
225	2752.319
226	2725.9
227	2690.77
228	2658.024
229	2620.45
230	2586.555
231	2548.002
232	2505.412
233	2466.365
234	2419.423
235	2383.37
236	2350.988
237	2330.142
238	2304.458
239	2268.907
240	2228.882
241	2173.879
242	2123.978
243	2078.196
244	2048.362
245	2017.837
246	1983.561
247	1954.173
248	1918.339
249	1894.255
250	1879.255
251	1876.812
252	1865.64
253	1838.813
254	1805.714
255	1767.537
256	1734.192
257	1703.477
258	1682.552
259	1657.516
260	1627.575
261	1601.035
262	1578.033
263	1560.476
264	1534.647
265	1505.112
266	1465.575
267	1419.394
268	1372.161
269	1323.739
270	1284.816
271	1243.54
272	1214.374
273	1184.926
274	1160.52
275	1139.821
276	1118.555
277	1105.578
278	1093.719
279	1090.218
280	1089.194
281	1089.84
282	1081.924
283	1060.516
284	1032.025
285	1001.366
286	971.9692
287	934.6503
288	896.0682
289	853.6751
290	808.9952
291	778.8421
292	768.7542
293	773.0157
294	754.8619
295	724.0552
296	696.0358
297	680.4237
298	669.2639
299	655.1009
300	644.4084
301	630.7859
302	620.8341
303	615.5844
304	616.8554
305	620.5135
306	624.1885
307	619.8845
308	595.6235
309	564.8595
310	546.7641
311	545.524
312	538.6021
313	518.3666
314	495.0445
315	473.687
316	455.8566
317	434.6545
318	416.0874
319	393.6522
320	370.823
321	349.7827
322	328.8792
323	318.3348
324	317.1984
325	323.5409
326	317.2273
327	296.812
328	273.0118
329	252.5827
330	236.3089
331	220.4133
332	212.0527
333	202.6706
334	196.9169
335	193.2735
336	192.1969
337	194.9545
338	202.6712
339	206.1615
340	192.8868
341	170.7688
342	159.662
343	163.9333
344	168.0514
345	164.8843
346	157.343
347	147.4311
348	133.3083
349	112.0517
350	87.87637
351	61.87469
352	39.45937
353	20.40318
354	0.3470469
355	-4.863626
356	7.249681
357	33.73981
358	52.70176
359	60.83736
360	75.43142
361	101.6427
362	119.5516
363	118.211
364	104.6712
365	100.5009
366	101.7043
367	100.5343
368	96.05775
369	89.35432
370	80.72044
371	73.77581
372	70.27432
373	70.42502
374	69.02487
375	66.73766
376	63.84672
377	60.50873
378	54.04569
379	41.28908
380	31.50745
381	32.03717
382	40.89139
383	46.22801
384	47.62456
385	51.22854
386	58.51311
387	63.82229
388	61.05728
389	61.06232
390	81.62132
391	109.2659
392	119.5994
393	106.4969
394	93.11972
395	90.82459
396	86.80151
397	72.95383
398	54.93995
399	31.558
400	12.03283
