RamanShift	Intensity
190	2520.024
191	2475.607
192	2438.26
193	2412.183
194	2368.313
195	2321.996
196	2285.007
197	2266.88
198	2254.42
199	2227.357
200	2198.368
201	2161.053
202	2122.44
203	2072.039
204	2012.724
205	1955.991
206	1898.245
207	1852.878
208	1798.096
209	1752.247
210	1714.892
211	1691.339
212	1680.606
213	1664.546
214	1649.792
215	1623.209
216	1586.831
217	1537.188
218	1473.319
219	1413.217
220	1354.531
221	1317.784
222	1284.378
223	1266.634
224	1253.6
225	1240.452
226	1232.002
227	1220.786
228	1209.846
229	1193.193
230	1171.981
231	1138.297
232	1091.577
233	1045.907
234	1002.921
235	975.1119
236	951.4449
237	935.5694
238	900.3654
239	834.4324
240	782.609
241	763.3023
242	786.2856
243	826.0966
244	878.4678
245	925.2145
246	951.687
247	952.7756
248	940.4911
249	905.075
250	869.8171
251	828.4305
252	745.051
253	615.5254
254	501.5951
255	433.5399
256	422.9566
257	414.2152
258	420.3103
259	419.5226
260	404.0372
261	387.1154
262	374.7192
263	365.988
264	358.4891
265	348.4197
266	317.5364
267	265.0572
268	212.7852
269	174.5603
270	151.0535
271	123.2249
272	102.1433
273	74.0982
274	43.46444
275	20.91172
276	10.57747
277	15.18223
278	21.87476
279	36.34258
280	57.50201
281	80.6441
282	97.07362
283	100.1002
284	92.68831
285	88.29136
286	77.56168
287	55.06649
288	23.76995
289	-7.57792
290	-33.3168
291	-45.38552
292	-44.82155
293	-29.9361
294	-19.36327
295	-11.22748
296	0.3681883
297	14.22775
298	27.08578
299	37.89358
300	43.19863
301	45.93122
302	44.31563
303	44.99443
304	48.0088
305	48.05143
306	43.21373
307	33.35096
308	15.9451
309	1.312364
310	1.587037
311	16.71602
312	25.03861
313	15.91446
314	1.896197
315	-6.911355
316	-11.4134
317	-11.53128
318	-8.650881
319	-14.14453
320	-29.71729
321	-41.51302
322	-41.67064
323	-28.71322
324	-2.198654
325	28.39899
326	45.20305
327	43.09821
328	41.44959
329	50.25294
330	59.2281
331	66.00191
332	66.72526
333	59.95796
334	48.41296
335	43.3824
336	49.81482
337	70.01957
338	105.9722
339	141.2063
340	156.8031
341	157.9723
342	179.7884
343	218.9283
344	246.1625
345	247.1629
346	231.2942
347	219.1439
348	201.2952
349	175.1124
350	148.2804
351	127.9588
352	120.6351
353	119.761
354	116.2391
355	119.7686
356	134.0918
357	151.0052
358	153.3915
359	140.2056
360	133.6357
361	143.9977
362	149.8367
363	133.3891
364	110.3979
365	98.80884
366	99.15394
367	101.9749
368	104.7718
369	96.20652
370	68.80416
371	38.3183
372	16.18957
373	6.317346
374	-1.329654
375	-2.256553
376	-1.636528
377	-1.106714
378	-2.854943
379	-10.86817
380	-18.06185
381	-18.02362
382	-12.46925
383	-9.32491
384	-8.619904
385	-5.693722
386	0.6351426
387	5.625381
388	4.48365
389	4.446933
390	18.68217
391	36.69855
392	40.06795
393	24.90502
394	10.08296
395	4.890219
396	2.825308
397	-1.069088
398	-4.794876
399	-13.40372
400	-21.93649
401	-25.26373
402	-19.89178
403	-5.312657
404	18.04989
405	42.04495
