RamanShift	Intensity
650	153.5616
651	138.6314
652	123.7845
653	105.6551
654	83.79784
655	47.66225
656	26.08328
657	35.09049
658	62.61158
659	73.10386
660	70.74207
661	68.05791
662	68.02657
663	79.90826
664	104.6965
665	132.612
666	157.5677
667	175.598
668	182.937
669	196.0155
670	237.6007
671	275.8542
672	292.6287
673	287.8295
674	289.4257
675	288.2103
676	281.8309
677	269.4093
678	250.5673
679	227.7684
680	197.7706
681	165.1171
682	140.986
683	133.8097
684	130.3639
685	112.3154
686	93.14687
687	75.15612
688	66.74166
689	63.42104
690	71.94903
691	92.36659
692	118.1337
693	130.6007
694	126.4566
695	135.8957
696	164.0232
697	176.3694
698	157.6006
699	130.1043
700	114.1271
701	104.1231
702	93.21539
703	88.79771
704	89.53973
705	91.00526
706	74.99636
707	53.89171
708	52.84955
709	73.70301
710	94.48612
711	108.3669
712	121.5072
713	132.7466
714	141.7562
715	149.5417
716	153.3077
717	155.1906
718	152.2985
719	147.3343
720	139.3349
721	128.6214
722	119.1977
723	113.7739
724	112.6796
725	106.9887
726	99.03796
727	91.93219
728	89.35201
729	96.67789
730	115.0916
731	132.21
732	140.5504
733	141.4351
734	137.3067
735	129.0382
736	122.4063
737	118.0885
738	117.5832
739	118.0235
740	111.3335
741	100.9832
742	92.43367
743	86.71101
744	77.79759
745	66.71565
746	52.17438
747	37.58349
748	30.93646
749	36.87387
750	53.54086
751	76.18027
752	98.75453
753	114.8479
754	125.5968
755	140.549
756	151.3394
757	167.4241
758	170.8086
759	148.7836
760	114.4741
761	93.78014
762	96.72038
763	116.7708
764	152.5395
765	191.4633
766	225.4085
767	278.0889
768	344.5728
769	407.9613
770	452.4719
771	485.7048
772	519.942
773	544.0056
774	568.8074
775	585.0292
776	605.0453
777	616.4822
778	623.3613
779	622.0457
780	624.8527
781	624.5084
782	614.3134
783	596.4564
784	582.7479
785	573.3665
786	550.7461
787	515.6805
788	474.9611
789	437.2735
790	394.6604
791	350.4249
792	316.9536
793	298.6583
794	295.1947
795	296.5546
796	298.1884
797	283.5949
798	267.2775
799	261.2087
800	260.6084
801	254.968
802	244.7148
803	224.8319
804	202.0208
805	181.0354
806	170.2786
807	167.8335
808	176.9125
809	187.7748
810	200.4102
811	227.7749
812	268.4536
813	313.5815
814	352.9192
815	382.0239
816	397.5283
817	397.3671
818	387.9362
819	374.5773
820	369.516
821	369.328
822	369.7659
823	373.9075
824	379.0259
825	388.1355
826	405.2007
827	423.4317
828	437.1307
829	446.6241
830	467.5745
831	490.358
832	503.7364
833	503.6512
834	503.6469
835	507.4933
836	525.1023
837	558.8488
838	603.1104
839	651.7176
840	713.2225
841	784.1483
842	858.9757
843	933.152
844	995.1274
845	1045.333
846	1077.729
847	1111.533
848	1129.156
849	1142.319
850	1134.632
851	1115.235
852	1076.92
853	1022.682
854	964.5465
855	902.3475
856	849.5102
857	787.6705
858	739.0544
859	698.9836
860	676.1871
861	640.3751
862	602.9938
863	565.9785
864	540.3617
865	514.0794
866	493.9817
867	476.7307
868	465.1779
869	450.8545
870	432.6614
871	415.3786
872	400.8574
873	379.3967
874	346.8798
875	312.5136
876	282.4819
877	262.459
878	254.0906
879	253.1523
880	248.2135
881	242.1588
882	229.9363
883	219.7738
884	216.4985
885	217.0423
886	211.4554
887	206.8435
888	204.3204
889	209.5415
890	225.1416
891	247.3171
892	271.4745
893	290.8528
894	306.2897
895	316.4419
896	338.4341
897	363.9701
898	383.0092
899	391.1221
900	403.0836
901	415.4023
902	428.808
903	437.4791
904	432.4067
905	412.187
906	390.643
907	374.6801
908	359.4152
909	346.4987
910	329.5164
911	308.6554
912	288.7252
913	273.5116
914	258.0394
915	240.9269
916	224.7734
917	210.405
918	197.3315
919	183.5256
920	176.2787
921	177.5085
922	179.2075
923	171.6205
924	164.4654
925	164.7754
926	163.336
927	150.7153
928	136.2591
929	127.3587
930	124.5721
931	121.5682
932	126.722
933	143.6681
934	161.9976
935	165.8382
936	163.9768
937	177.1575
938	191.5253
939	197.094
940	188.9475
941	168.4774
942	144.3443
943	132.757
944	133.3414
945	129.0575
946	122.3129
947	109.625
948	97.60706
949	93.87508
950	99.70007
951	106.1463
952	110.9998
953	108.6319
954	101.9722
955	103.6155
956	113.6292
957	123.7964
958	132.6527
959	144.3615
960	158.6286
961	184.769
962	216.7026
963	241.7876
964	251.0144
965	250.032
966	238.0235
967	225.2496
968	214.438
969	197.8804
970	178.8464
971	161.2339
972	151.1636
973	147.8337
974	151.1204
975	146.729
976	131.7868
977	119.3297
978	115.2751
979	120.6983
980	134.7842
981	147.8961
982	154.2009
983	163.6183
984	177.4374
985	188.5991
986	192.5972
987	185.7382
988	167.8002
989	147.4164
990	132.4724
991	124.2138
992	125.1868
993	127.2673
994	126.1708
995	133.1027
996	151.1195
997	177.8601
998	208.3404
999	236.359
1000	255.1194
1001	268.3532
1002	277.0693
1003	271.7473
1004	251.6691
1005	218.9156
1006	180.763
1007	142.263
1008	111.0691
1009	85.93742
1010	67.05617
1011	55.84593
1012	50.60714
1013	53.33427
1014	61.40312
1015	65.65381
1016	59.86357
1017	59.14392
1018	70.11005
1019	75.49464
1020	67.29998
1021	61.65114
1022	66.5181
1023	72.9647
1024	76.63817
1025	80.35329
1026	84.46539
1027	90.13584
1028	97.55914
1029	114.8939
1030	142.8791
1031	158.7904
1032	151.3362
1033	143.0913
1034	146.1735
1035	153.5118
1036	162.8805
1037	169.8634
1038	171.6714
1039	181.0836
1040	201.9594
1041	231.2957
1042	262.3474
1043	291.9572
1044	314.286
1045	333.7873
1046	350.2859
1047	371.0613
1048	393.4361
1049	404.4397
1050	398.4205
1051	390.2397
1052	385.068
1053	378.9931
1054	372.7365
1055	361.493
1056	348.5719
1057	346.243
1058	356.9388
1059	363.8289
1060	362.4172
1061	359.9594
1062	357.4341
1063	354.9532
1064	353.3743
1065	353.6128
1066	353.8553
1067	345.1914
1068	330.2067
1069	320.9074
1070	318.5817
1071	304.8181
1072	289.4522
1073	296.8969
1074	327.0314
1075	356.6956
1076	380.5883
1077	407.4232
1078	431.2927
1079	466.0226
1080	495.2086
1081	507.5875
1082	498.1852
1083	483.6232
1084	471.8614
1085	485.0691
1086	505.6971
1087	502.0967
1088	477.2916
1089	441.6641
1090	415.0971
1091	419.4776
1092	439.4857
1093	435.2313
1094	418.7941
1095	401.7176
1096	387.7303
1097	379.73
1098	375.2711
1099	363.3894
1100	352.6643
1101	342.4347
1102	349.9945
1103	384.5514
1104	422.5627
1105	442.5346
1106	447.7952
1107	444.4373
