RamanShift	Intensity
190	3382.443
191	3354.517
192	3303.901
193	3248.554
194	3188.456
195	3136.868
196	3090.343
197	3055.883
198	3024.879
199	2975.68
200	2930.161
201	2879.829
202	2838.132
203	2791.02
204	2740.208
205	2693.437
206	2639.752
207	2595.784
208	2545.756
209	2506.632
210	2477.231
211	2461.849
212	2456.346
213	2441.845
214	2425.367
215	2399.902
216	2367.286
217	2322.475
218	2264.025
219	2208.377
220	2155.526
221	2119.605
222	2078.397
223	2044.615
224	2013.687
225	1987.162
226	1960.32
227	1912.214
228	1861.626
229	1809.707
230	1767.724
231	1718.758
232	1660.522
233	1610.29
234	1559.457
235	1527.083
236	1494.833
237	1472.119
238	1448.178
239	1419.806
240	1388.779
241	1340.212
242	1296.517
243	1263.513
244	1249.281
245	1231.3
246	1202.775
247	1171.519
248	1131.296
249	1096.563
250	1067.326
251	1049.046
252	1019.883
253	975.1366
254	933.2427
255	896.6537
256	877.1497
257	863.4313
258	860.2813
259	848.9465
260	824.8928
261	799.7736
262	778.4961
263	762.8135
264	745.3292
265	728.5774
266	701.5977
267	665.2903
268	629.3192
269	598.5883
270	573.8
271	542.3998
272	510.9622
273	465.2974
274	411.6004
275	362.6181
276	327.0142
277	308.8744
278	284.144
279	274.8283
280	282.1754
281	306.3414
282	323.8787
283	318.7596
284	301.8101
285	287.5177
286	269.6266
287	242.0978
288	208.4536
289	170.5586
290	131.7076
291	104.2042
292	89.13316
293	91.27821
294	89.93011
295	90.08998
296	91.29231
297	93.12028
298	99.92255
299	113.6821
300	129.1931
301	143.0108
302	149.7142
303	149.0792
304	139.5586
305	126.2768
306	116.6062
307	101.1608
308	66.47409
309	32.13154
310	13.85002
311	18.72466
312	25.60544
313	24.97512
314	26.28241
315	32.38601
316	40.31365
317	47.49414
318	50.97093
319	50.06168
320	43.96244
321	34.96296
322	24.81234
323	19.95892
324	27.45891
325	40.94217
326	40.52997
327	25.72003
328	19.33668
329	32.57627
330	51.31641
331	61.62036
332	66.51727
333	73.15911
334	79.37611
335	87.061
336	95.75031
337	108.4035
338	130.7229
339	145.5148
340	136.2664
341	114.789
342	118.7064
343	151.5267
344	182.6306
345	195.0297
346	200.6745
347	215.674
348	227.0882
349	235.1351
350	235.8116
351	233.0739
352	227.5753
353	217.3999
354	202.1973
355	190.0786
356	188.1993
357	194.044
358	191.8916
359	183.0853
360	181.3038
361	192.3223
362	201.4326
363	196.9527
364	184.2175
365	170.4004
366	158.7528
367	153.1548
368	155.7233
369	156.1572
370	148.0791
371	136.9541
372	125.0602
373	115.3442
374	105.9879
375	101.4221
376	103.9601
377	114.1066
378	118.2561
379	104.2238
380	87.7822
381	86.00761
382	95.11147
383	102.4552
384	106.5451
385	108.8204
386	108.7989
387	105.1443
388	95.89787
389	90.06615
390	99.90981
391	116.7615
392	118.704
393	102.4773
394	88.32561
395	85.56586
396	88.90425
397	92.59882
398	99.66795
399	107.5407
400	117.3524
401	134.4351
402	156.1828
403	179.2219
404	200.4936
405	218.0134
406	240.9223
407	256.2435
408	264.9714
409	262.6135
410	257.4882
411	251.3555
412	244.9072
413	239.7854
414	239.4092
415	246.5083
416	255.2984
417	256.3354
418	249.3346
419	241.438
420	234.3459
421	226.2939
422	216.8537
423	208.5929
424	199.3988
425	193.4042
426	188.0194
427	185.4026
428	182.2331
429	178.8538
430	175.2264
431	171.0576
432	169.1098
433	168.766
434	173.3696
435	185.0968
436	199.6857
437	207.3902
438	203.9828
439	194.6667
440	183.441
441	168.6067
442	148.746
443	130.9941
444	113.2318
445	104.1486
446	101.6199
447	109.2258
448	128.1918
449	155.8567
450	180.4845
451	189.3592
452	190.5847
453	207.4735
454	227.0069
455	234.248
456	227.7004
457	227.5183
458	240.8589
459	261.7221
460	288.0022
461	309.4039
462	327.2674
463	327.3639
464	306.908
465	270.4222
466	244.9452
467	241.9395
468	240.7434
469	226.4518
470	222.2697
471	236.8338
472	270.3595
473	316.7861
474	364.4712
475	404.1067
476	423.3799
477	433.0316
478	436.7213
479	439.1645
480	454.4055
481	472.5069
482	491.0083
483	504.3683
484	515.9304
485	520.6826
486	519.4559
487	512.1943
488	502.1443
489	494.3871
490	485.3723
491	470.2251
