RamanShift	Intensity
190	3340.871
191	3305.532
192	3262.267
193	3222.465
194	3174.526
195	3130.931
196	3090.55
197	3059.652
198	3036.331
199	3007.948
200	2985.53
201	2956.292
202	2926.143
203	2883.207
204	2828.088
205	2772.135
206	2715.38
207	2667.085
208	2604.467
209	2547.585
210	2500.281
211	2471.419
212	2459.186
213	2442.008
214	2427.967
215	2399.469
216	2359.753
217	2309.329
218	2248.783
219	2195.823
220	2150.035
221	2123.789
222	2090.932
223	2061.278
224	2029.047
225	1993.946
226	1963.383
227	1930.46
228	1903.526
229	1867.97
230	1831.194
231	1785.355
232	1731.093
233	1684.365
234	1642.903
235	1617.607
236	1585.312
237	1553.09
238	1512.459
239	1462.151
240	1415.762
241	1367.033
242	1335.033
243	1307.11
244	1293.014
245	1280.885
246	1267.117
247	1249.335
248	1215.16
249	1179.103
250	1148.393
251	1127.714
252	1097.238
253	1053.589
254	1011.872
255	972.4344
256	947.524
257	923.9125
258	911.1693
259	901.6885
260	894.4121
261	885.3282
262	865.8219
263	844.5046
264	826.8653
265	811.501
266	780.2876
267	733.17
268	686.925
269	652.0548
270	625.2773
271	582.6031
272	541.0886
273	502.1784
274	474.2908
275	447.4635
276	412.8893
277	387.6207
278	368.1692
279	364.1186
280	363.263
281	365.3786
282	360.2681
283	341.5853
284	318.0139
285	294.3569
286	275.7801
287	257.5027
288	243.5761
289	226.2537
290	203.0846
291	189.4509
292	192.6556
293	208.0882
294	217.9254
295	220.0501
296	212.133
297	193.6795
298	174.3907
299	164.0051
300	159.5651
301	152.3504
302	146.9191
303	143.1378
304	141.4518
305	137.4234
306	129.0379
307	115.5523
308	92.10483
309	70.26344
310	58.6492
311	61.49725
312	63.77106
313	58.89892
314	55.33139
315	56.90023
316	61.43094
317	65.93649
318	67.63313
319	61.0273
320	45.67453
321	33.50799
322	32.65912
323	42.94784
324	62.59955
325	84.88284
326	96.99857
327	94.25007
328	87.0763
329	81.92477
330	73.55178
331	59.86685
332	46.82816
333	35.29361
334	31.05397
335	34.89372
336	47.30862
337	65.98
338	87.50161
339	104.1039
340	109.2523
341	106.2824
342	116.4496
343	140.2222
344	165.6643
345	185.5146
346	199.4259
347	214.1466
348	219.7964
349	221.5401
350	216.847
351	211.3806
352	207.3943
353	203.4388
354	198.2792
355	198.0201
356	208.2894
357	222.7897
358	226.8073
359	219.6068
360	219.2506
361	233.542
362	243.2138
363	234.4708
364	215.776
365	200.0545
366	189.406
367	182.1447
368	179.8836
369	175.3051
370	163.5576
371	150.5848
372	135.212
373	126.7426
374	129.3188
375	143.6887
376	159.4475
377	170.8003
378	169.8473
379	150.0691
380	125.7024
381	116.8386
382	119.7831
383	117.3225
384	110.6814
385	104.1921
386	99.53784
387	99.73978
388	102.6662
389	116.1805
390	149.8656
391	187.9046
392	204.6955
393	191.8723
394	178.0804
395	177.4068
396	177.6039
397	173.0816
398	165.9197
399	151.9438
400	139.9555
401	142.8165
402	164.4151
403	194.5271
404	225.5598
405	255.1494
406	288.9637
407	313.1293
408	332.2028
409	337.6703
410	339.1762
411	335.7851
412	324.9255
413	307.315
414	290.8334
415	280.4821
416	278.3739
417	275.6844
418	275.9238
419	278.8377
420	284.4735
421	291.7754
422	299.6553
423	306.3988
424	314.5977
425	317.8195
426	315.6658
427	306.5509
428	293.9266
429	280.0843
430	260.8173
431	236.4149
432	216.0501
433	201.0149
434	199.4461
435	204.4558
436	219.2614
437	238.4541
438	257.1156
439	272.4083
440	280.3608
441	280.6779
442	280.6297
443	274.5952
444	262.5023
445	249.1122
446	243.0175
447	247.2849
448	255.0329
449	262.2819
450	267.3839
451	266.0924
452	264.1772
453	272.2462
454	284.2454
455	287.9425
456	283.469
457	286.7115
458	303.0041
459	321.6125
460	335.8692
461	344.411
462	354.9992
463	356.888
464	344.9356
465	322.8666
466	310.4495
467	315.0481
468	322.9611
469	323.8688
470	329.1492
471	342.8292
472	366.1898
473	404.6038
474	445.5659
475	476.6713
476	487.1488
477	486.9623
478	480.4502
479	474.8348
480	483.6404
481	498.1091
482	510.1711
483	518.2424
484	523.7861
485	526.6073
486	537.696
487	558.6915
488	573.2352
489	572.2098
490	560.3605
491	549.9783
492	537.091
493	520.3488
494	504.0753
495	486.3112
496	471.1004
497	458.8092
498	450.766
499	442.5398
500	424.5768
501	411.13
502	406.709
503	416.5891
504	437.8593
505	464.5361
506	479.9679
507	476.09
508	466.8419
509	462.4363
510	456.7253
511	450.5451
512	439.9276
513	417.3077
514	391.2615
515	368.0779
516	357.5392
517	366.3071
518	395.6191
519	421.1058
520	423.3427
521	412.9612
522	406.2974
523	397.6768
524	386.3849
525	378.3103
526	379.6895
527	391.9195
528	404.5168
529	411.5612
530	423.102
531	445.3501
532	468.1214
533	490.4452
534	503.9868
535	516.2681
536	519.2861
537	514.4022
538	501.1143
539	487.8597
540	479.4257
541	470.1584
542	455.7854
543	442.094
544	425.1719
545	415.8241
546	416.3856
547	426.8442
548	435.6479
549	438.1767
550	431.8717
551	415.2391
