RamanShift	Intensity
190	3096.692
191	3052.137
192	3008.904
193	2975.031
194	2927.876
195	2881.352
196	2839.094
197	2808.815
198	2780.793
199	2735.448
200	2692.566
201	2646.869
202	2608.376
203	2557.054
204	2492.007
205	2430.32
206	2368.716
207	2323.694
208	2274.968
209	2239.204
210	2209.398
211	2186.741
212	2169.392
213	2139.631
214	2108.369
215	2071.509
216	2033.893
217	1984.016
218	1917.518
219	1855.66
220	1795.722
221	1758.593
222	1726.786
223	1709.559
224	1685.537
225	1645.765
226	1602.69
227	1550.397
228	1507.214
229	1470.918
230	1450.388
231	1422.391
232	1377.922
233	1337.58
234	1303.732
235	1284.103
236	1260.435
237	1237.632
238	1206.627
239	1165.447
240	1121.904
241	1069.361
242	1026.227
243	986.1732
244	960.7707
245	937.3935
246	913.8284
247	889.9236
248	850.1539
249	813.6417
250	784.0668
251	768.0953
252	746.8269
253	716.1807
254	688.8192
255	664.6593
256	650.9038
257	636.2996
258	626.7424
259	618.4163
260	611.0215
261	601.5669
262	584.614
263	566.0044
264	550.1857
265	534.371
266	499.2657
267	444.9516
268	392.8732
269	356.383
270	332.8649
271	297.2932
272	264.2681
273	227.5109
274	194.1329
275	168.1553
276	150.0403
277	144.7854
278	138.606
279	139.9766
280	144.6067
281	151.6626
282	156.0319
283	154.0171
284	146.6628
285	138.4731
286	125.752
287	102.9491
288	74.07034
289	47.20566
290	27.34351
291	21.69817
292	29.93825
293	48.46693
294	56.61757
295	55.06427
296	52.52239
297	51.10616
298	50.65011
299	53.22127
300	55.29772
301	51.85665
302	45.86284
303	44.22202
304	48.55329
305	56.40809
306	66.9493
307	70.69768
308	56.438
309	34.43334
310	23.52688
311	27.24891
312	32.10015
313	32.52383
314	32.76105
315	34.50185
316	35.10326
317	32.49052
318	26.82638
319	18.40141
320	9.29216
321	5.964639
322	12.20019
323	25.95548
324	42.7063
325	59.32428
326	74.15115
327	83.75678
328	91.21113
329	98.22357
330	99.07247
331	93.23675
332	83.5127
333	75.79321
334	75.09149
335	87.01014
336	112.0057
337	140.012
338	161.59
339	174.6419
340	182.2853
341	186.8766
342	211.0589
343	252.0652
344	288.1123
345	306.3905
346	309.9455
347	312.3783
348	306.0326
349	302.5976
350	299.8255
351	292.841
352	281.7066
353	267.7461
354	250.2363
355	241.0083
356	250.5192
357	268.7337
358	267.0052
359	244.0586
360	223.0175
361	215.269
362	209.5842
363	196.0843
364	181.5327
365	164.3725
366	149.5774
367	136.743
368	128.3393
369	116.981
370	97.84649
371	80.47708
372	65.74851
373	59.71452
374	55.42253
375	57.76826
376	69.16858
377	88.70273
378	101.7814
379	95.94143
380	85.40453
381	90.79536
382	105.0006
383	118.0032
384	126.5212
385	132.3524
386	134.8082
387	129.8964
388	114.7693
389	101.4987
390	108.0714
391	123.8337
392	118.5606
393	90.12051
394	69.40244
395	70.67636
396	79.30571
397	81.01487
398	79.82924
399	72.02662
400	63.6774
401	67.78708
402	86.94236
403	110.6054
404	131.379
405	152.4043
406	182.8866
407	208.8718
408	229.9427
409	237.1824
410	235.5358
411	224.4505
412	211.7755
413	204.3745
414	202.2533
415	204.9765
416	210.1913
417	208.6493
418	202.503
419	200.7463
420	205.0364
421	207.0119
422	201.6373
423	197.6694
424	203.5325
425	212.3225
426	216.1989
427	213.1458
428	205.5439
429	193.8928
430	175.8578
431	153.2491
432	130.1478
433	105.5832
434	90.26405
435	80.87435
436	85.27483
437	101.3223
438	125.9328
439	147.2499
440	154.9201
441	155.9084
442	162.7443
443	165.3416
444	162.4826
445	153.9252
446	144.0838
447	135.6479
448	133.3118
449	139.6343
450	147.7059
451	149.7019
452	148.2392
453	146.8241
454	144.693
455	140.8925
456	138.4054
457	144.9152
458	163.2342
459	189.0501
460	217.9157
461	244.1673
462	274.722
463	292.8154
464	296.8432
465	283.4176
466	271.5238
467	267.063
468	258.8342
469	240.7585
470	230.743
471	236.2697
472	261.0526
473	299.7843
474	344.1788
475	382.5926
476	404.7773
477	427.1442
478	454.682
479	478.5967
480	502.6156
481	519.5105
482	541.0683
483	555.3988
484	563.0615
485	560.8603
486	559.8881
487	563.3212
488	561.1139
489	549.8533
490	531.0444
491	506.4995
492	481.8534
493	456.5335
494	439.4736
495	425.3801
496	418.2511
497	414.8148
498	413.1664
499	410.8637
500	400.4926
501	393.3941
502	398.3262
503	412.0811
504	424.5014
505	432.5392
506	436.8117
507	435.8254
508	433.2862
509	432.881
510	431.028
511	429.6225
512	420.6672
513	394.7542
514	361.1416
515	331.1721
516	315.516
517	316.8321
518	336.4093
519	354.2397
520	352.0352
521	344.8059
522	348.7254
523	355.1335
524	355.6959
525	353.1928
526	355.046
527	362.6725
528	374.3406
529	388.1382
530	415.9116
531	465.5253
532	516.4888
533	563.969
534	592.4524
535	621.3959
536	633.0175
537	629.2065
538	606.5165
539	577.0989
540	548.766
541	516.6049
542	475.3237
543	444.814
544	423.1495
545	422.5639
546	429.3049
547	443.6616
548	452.3866
549	450.4701
550	440.7245
551	424.3035
552	402.5803
553	378.8567
554	352.1102
555	312.1744
556	275.8076
557	242.4068
558	224.3211
559	216.4723
560	221.4321
561	220.8231
562	208.7802
563	197.1806
564	190.8869
565	187.9339
566	182.7163
567	182.0233
568	189.7266
569	200.5218
570	201.7413
571	193.8134
572	189.3731
573	191.2113
574	192.3562
575	190.5812
576	179.4078
577	152.9619
578	125.8556
579	107.663
580	105.1781
581	113.469
582	131.3081
583	141.5935
584	141.1446
585	142.8776
586	150.2453
587	161.2921
588	177.2791
589	187.0082
590	184.9056
591	171.6672
592	154.7117
593	139.8503
594	133.7225
595	141.1145
596	157.6495
597	180.2479
598	200.8489
599	212.6102
600	218.2896
601	223.2297
602	220.7167
603	216.4968
604	202.4151
605	171.4302
606	136.3246
607	113.876
608	113.1693
609	122.8838
610	140.3913
611	154.3077
612	156.3347
613	156.3486
614	161.845
615	170.3349
616	184.7868
617	198.1686
618	206.2483
619	205.4341
620	200.3346
621	190.9387
622	182.2899
623	176.5052
624	162.4349
625	136.6273
626	112.8785
627	100.0033
628	99.97984
629	104.6644
630	117.092
631	128.1933
632	136.7197
633	144.1053
634	147.3058
635	149.929
636	150.513
637	142.6911
638	125.4003
639	112.5859
640	114.6523
641	124.1816
642	129.0527
643	137.3286
644	156.2905
645	177.8579
646	197.9864
647	209.0092
648	211.815
649	203.1104
650	187.691
651	168.8345
652	152.1759
653	142.7063
654	130.0092
655	100.1816
656	75.63384
657	68.51583
658	74.21878
659	67.2794
660	57.79547
661	54.43656
662	62.06234
663	81.80496
664	111.6587
665	138.2285
666	154.0053
667	172.8387
668	201.7993
669	235.4724
670	276.5491
671	306.8189
672	329.062
673	331.4693
674	331.3384
